Name,Symbol,Start Date,Hist.,Category,Exchange,Market,Currency,Type,Full Name
HITHINK ROYALFLUSH INFO. NET.'A',CN:FIN,12/25/2009,6Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Hithink Royalflush Information Network 'A'
HUAYI BROTHERS MDA.'A',CN:HMD,10/30/2009,6Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Huayi Brothers Media 'A'
SIASUN ROBOT & ATMTN.'A',CN:RSA,10/30/2009,6Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Siasun Robot and Automation 'A'
SICHUAN TIANQI LITHIUM INDS.'A',CN:ALI,8/31/2010,5Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Sichuan Tianqi Lithium Industries 'A'
SONGCHENG PERF.DEV.'A',CN:TZA,12/9/2010,5Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Songcheng Performance Development 'A'
WANXIANG QIANGCHAO 'A',CN:WAN,1/10/1994,22Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Wanxiang Qiangchao 'A'
ZHEJIANG DAHUA TECH.'A',CN:ZDA,5/20/2008,7Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Zhejiang Dahua Technology 'A'
AVIC AERO-ENGINE CNTLS. 'A',CN:AVI,6/26/1997,18Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Avic Aero-Engine Controls 'A'
BEIJING KUNLUN TECH.'A',CN:BKT,1/21/2015,1Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Beijing Kunlun Technology 'A'
BEIJING OURPALM TECHNOLOGY 'A',CN:BGT,5/11/2012,3Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Beijing Ourpalm Technology 'A'
BEIJING SHIJI INFO.TECH. 'A',CN:BSI,8/13/2007,8Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Beijing Shiji Information Technology 'A'
CITIC GUOAN INFO.IND.'A',CN:ZGI,10/31/1997,18Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Citic Guoan Information Industry 'A'
DMG ENTM.&.MDA.'A',CN:SGF,7/20/2007,8Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,DMG Entertainment and Media 'A'
ETERNAL AI.SPCH.MAN.'A',CN:EAS,11/13/2007,8Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Eternal Asia Supply Chain Management 'A'
GUANGZHOU FRIENDSHIP GP. 'A',CN:GFC,7/18/2000,15Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Guangzhou Friendship Group 'A'
GUOYUAN SECURITIES 'A',CN:BEH,6/16/1997,18Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Guoyuan Securities 'A'
HEBEI IRON & STEEL 'A',CN:TIS,4/16/1997,19Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Hebei Iron and Steel 'A'
HUADONG MEDICINE 'A',CN:HMO,1/27/2000,16Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Huadong Medicine 'A'
HUBEI BIOCAUSE PHARM.'A',CN:HUZ,11/12/1996,19Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Hubei Biocause Pharmaceutical 'A'
HUNAN ER-KANG PHARM.'A',CN:ERK,9/27/2011,4Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Hunan ER-Kang Pharmaceutical 'A'
JIANGSU DONGYUAN ELECT. GP. 'A',CN:DEG,10/18/2006,9Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Jiangsu Dongyuan Electrical Group 'A'
LEPU MED.TECH.(BEJ.) 'A',CN:LMT,10/30/2009,6Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Lepu Medical Technology (Beijing) 'A'
LUXSHARE PRECN.IND.'A',CN:SLP,9/15/2010,5Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Luxshare Precision Industry 'A'
LUZHOU LAO JIAO 'A',CN:LUZ,5/9/1994,21Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Luzhou LAO Jiao 'A'
NEW HOPE LIUHE 'A',CN:NHA,3/11/1998,18Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,New Hope Liuhe 'A'
QINGHAI SALT LAKE IND. 'A',CN:QHS,9/5/1997,18Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Qinghai Salt Lake Industry 'A'
RONGSHENG PETRO CHM.'A',CN:RPC,11/2/2010,5Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Rongsheng Petro Chemical 'A'
SEALAND SECURITIES 'A',CN:GUQ,7/9/1997,18Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Sealand Securities 'A'
SHANXI SECURITIES 'A',CN:XNS,11/15/2010,5Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Shanxi Securities 'A'
XINJIANG GOLDWIND SCTC. 'A',CN:GWS,12/26/2007,8Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Xinjiang Goldwind Science and Technology 'A'
YOUZU INTERACTIVE 'A',CN:SUA,9/25/2007,8Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Youzu Interactive 'A'
ZHEJ.WANFENG AUTO WHEEL 'A',CN:ZWN,11/28/2006,9Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Zhejiang Wanfeng Auto Wheel 'A'
ZHONGTIAN URBAN DEV.GP. 'A',CN:GZG,2/2/1994,22Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Zhongtian Urban Development Group 'A'
ADDSINO 'A',CN:FUA,11/30/1993,22Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Addsino 'A'
AIER EYE HOSPITAL GP.'A',CN:AEH,10/30/2009,6Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Aier Eye Hospital Group 'A'
ANGANG STEEL 'A',CN:ANS,12/26/1997,18Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Angang Steel 'A'
ANHUI ZHONGDING SEALING PARTS 'A',CN:FEV,12/3/1998,17Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Anhui Zhongding Sealing Participations 'A'
AVIC ERML.SYSTEMS 'A',CN:HII,7/5/2004,11Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Avic Erml Systems 'A'
BEIJING BAOFENG TECH.'A',CN:BFT,3/24/2015,1Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Beijing Baofeng Technology 'A'
BEIJING DABEINONG TECH. GP.'A',CN:QCG,4/9/2010,6Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Beijing Dabeinong Technology Group 'A'
BEIJING JETSEN TECH.'A',CN:JTS,2/22/2011,5Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Beijing Jetsen Technology 'A'
BEIJING JINGXI CUL.& TSM.'A',CN:BJJ,1/8/1998,18Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Beijing Jingxi Culture and Tourism 'A'
BEIJING ORNTL.LND.&.ELG. 'A',CN:BOL,11/27/2009,6Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Beijing Oriental LND and ELG 'A'
BEIJING SHOUGANG 'A',CN:BSC,12/16/1999,16Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Beijing Shougang 'A'
BEIJING SHOUHANG RES. SVN.'A',CN:BSR,3/27/2012,4Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Beijing Shouhang Resources Saving 'A'
