Name,Symbol,Start Date,Hist.,Category,Exchange,Market,Currency,Type,Full Name
BAOSHAN IRON & STL.'A',CN:BIS,12/12/2000,15Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Baoshan Iron and Steel 'A'
CHINA MERCHANTS SECS.'A',CN:CMZ,11/17/2009,6Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,China Merchants Securities 'A'
DAQIN RAILWAY 'A',CN:DAQ,8/1/2006,9Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Daqin Railway 'A'
INNER MONGOLIA BAOTOU STEEL UNION 'A',CN:IMB,3/9/2001,15Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Inner Mongolia Baotou Steel Union 'A'
ORIENT SECS.'A',CN:ORS,3/23/2015,1Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Orient Securities 'A'
POLY REAL ESTATE GP.'A',CN:PRE,7/31/2006,9Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Poly Real Estate Group 'A'
CHINA UTD.NET.COMMS.'A',CN:CUC,10/9/2002,13Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,China United Network Communications 'A'
JIANGSU HENGRUI MEDICINE 'A',CN:JHM,10/18/2000,15Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Jiangsu Hengrui Medicine 'A'
CHINA ELEC.PWR.CON.'A',CN:YDR,10/18/2011,4Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,China Electric Power Construction 'A'
HUANENG POWER INTL.'A',CN:HPI,12/13/2001,14Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Huaneng Power International 'A'
HUATAI SECURITIES 'A',CN:SRX,2/26/2010,6Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Huatai Securities 'A'
INNER MONGOLIA YILI INDL.GP.'A',CN:MNG,6/12/1996,19Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Inner Mongolia Yili Industrial Group 'A'
SHANGHAI ELECTRIC GP.'A',CN:GCL,12/5/2008,7Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Shanghai Electric Group 'A'
FOSHAN HAI TIAN FLFD.'A',CN:FHT,2/11/2014,2Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Foshan Hai Tian FLFD 'A'
NEW CHINA LIFE IN.'A',CN:NLI,12/16/2011,4Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,New China Life Insurance 'A'
NINGBO PORT 'A',CN:NGP,9/28/2010,5Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Ningbo Port 'A'
AVIC AVTN.ENN.CORP.'A',CN:JNP,4/8/1996,20Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Avic Aviation Engine Corporation 'A'
BESTV NEW MEDIA 'A',CN:SGU,3/16/1993,23Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Bestv New Media 'A'
CHINA FORTUNE LD.DEV.'A',CN:CFL,12/30/2003,12Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,China Fortune Land Development 'A'
EVERBRIGHT SECS.'A',CN:EBS,8/18/2009,6Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Everbright Securities 'A'
METALLURG.CORP.OF CHINA 'A',CN:MCC,9/21/2009,6Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Metallurgical Corporation of China 'A'
ZHEJIANG ZHENENG ELEC. POWER 'A',CN:ZEP,12/19/2013,2Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Zhejiang Zheneng Electric Power 'A'
ANHUI CONCH CMT. 'A',CN:CMT,2/7/2002,14Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Anhui Conch Cement 'A'
CHINA GRAND AUTV.SVS.'A',CN:DMP,11/16/2000,15Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,China Grand Automotive Services 'A'
KANGMEI PHARM.'A',CN:GDK,3/19/2001,15Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Kangmei Pharmaceutical 'A'
SINOTEX INV.&DEV. 'A',CN:SID,5/20/1997,18Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Sinotex Investment and Development 'A'
AIR CHINA LIMITED 'A',CN:AIR,8/18/2006,9Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Air China Limited 'A'
CHINA EASTERN AIRL. 'A',CN:CEA,11/5/1997,18Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,China Eastern Airlines 'A'
DONGXING SECS.'A',CN:DXS,2/26/2015,1Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Dongxing Securities 'A'
FOUNDER SECURITIES 'A',CN:FOU,8/10/2011,4Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Founder Securities 'A'
GD PWR.DEV. 'A',CN:DNE,3/18/1997,19Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Gold Power Development 'A'
SINOPEC OILFIELD SERVICE 'A',CN:KGI,4/11/1995,21Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Sinopec Oilfield Service 'A'
SINOPEC SHAI.PETROCH.'A',CN:SPO,11/8/1993,22Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Sinopec Shanghai Petrochemical 'A'
ALUMINUM CORP.OF CHINA 'A',CN:ACR,4/30/2007,8Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Aluminum Corporation of China 'A'
AVIC CAPITAL 'A',CN:BEY,5/16/1996,19Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Avic Capital 'A'
BANK OF NANJING 'A',CN:BNN,7/19/2007,8Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Bank of Nanjing 'A'
CHINA SOUTHERN AIRLINES 'A',CN:CSA,7/25/2003,12Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,China Southern Airlines 'A'
GEMDALE 'A',CN:GFI,4/12/2001,15Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Gemdale 'A'
INDUSTRIAL SECS.'A',CN:IND,10/13/2010,5Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Industrial Securities 'A'
QINGDAO HAIER 'A',CN:QHR,11/19/1993,22Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Qingdao Haier 'A'
SANAN OPEL.'A',CN:SHP,5/28/1996,19Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Sanan Optoelectronics 'A'
SHANGHAI INTL.ARPT.'A',CN:HIA,2/18/1998,18Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Shanghai International Airport 'A'
ZIJIN MINING GROUP 'A',CN:ZMG,4/25/2008,7Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Zijin Mining Group 'A'
CHINA COAL ENERGY 'A',CN:COA,2/1/2008,8Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,China Coal Energy 'A'
CHINA COSCO HDG.'A',CN:CSO,6/26/2007,8Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,China Cosco Holdings 'A'
HEILAN HOME 'A',CN:AOD,12/28/2000,15Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Heilan Home 'A'
HUAYU AUTOMOTIVE SYS.'A',CN:SBU,8/26/1996,19Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Huayu Automotive Systems 'A'
INMONG.BAOTOU STL.RARE EARTH (GP.)HI-TECH 'A',CN:IMR,9/24/1997,18Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Inner Mongolia Baotou Steel Rare Earth (Group) Hi-Tech 'A'
SDIC POWER HOLDINGS 'A',CN:HXI,1/18/1996,20Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Sdic Power Holdings 'A'
SHAI.CHENGTOU HLDG.'A',CN:SSW,5/18/1993,22Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Shanghai Chengtou Holding 'A'
SOUTHWEST SECURITIES 'A',CN:CCW,1/9/2001,15Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Southwest Securities 'A'
ZHENGZHOU YUTONG BUS 'A',CN:ZHY,5/8/1997,18Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Zhengzhou Yutong Bus 'A'
BEIJING TONGRENTANG 'A',CN:BTR,6/25/1997,18Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Beijing Tongrentang 'A'
BLUE STAR NEW CHM.MATS. 'A',CN:XCC,4/20/2000,15Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Blue Star New Chemical Materials 'A'
CHINA FIRST HVY.IND.'A',CN:CFH,2/9/2010,6Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,China First Heavy Industry 'A'
CHINA INTL.TRVL.SER.'A',CN:CTS,10/15/2009,6Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,China International Travel Service 'A'
CHINA OILFIELD SVS.'A',CN:COI,9/28/2007,8Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,China Oilfield Services 'A'
CHINA SHIP.CTNR.LIN.'A',CN:DSD,12/12/2007,8Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,China Shipping Container Lines 'A'
CHINA SPACESAT 'A',CN:CPT,9/8/1997,18Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,China Spacesat 'A'
DOUBLE COIN HOLDINGS 'A',CN:SRT,12/4/1992,23Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Double Coin Holdings 'A'
JIANGSU BCAST.CAB.INNT. 'A',CN:JCI,4/28/2015,<1Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Jiangsu Broadcasting Cable Innt 'A'
SANY HEAVY INDUSTRY 'A',CN:SNY,7/3/2003,12Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Sany Heavy Industry 'A'
SHAANXI COAL IND.'A',CN:XNC,1/28/2014,2Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Shaanxi Coal Industry 'A'
SHANDONG GOLD-MINING 'A',CN:SDN,8/28/2003,12Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Shandong Gold-Mining 'A'
SINOLINK SECURITIES 'A',CN:CDC,8/7/1997,18Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Sinolink Securities 'A'
SOOCHOW SECURITES 'A',CN:SOO,12/12/2011,4Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Soochow Securites 'A'
SPRING AIRLINES 'A',CN:SRL,1/21/2015,1Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Spring Airlines 'A'
TASLY PHARMACEUTICAL 'A',CN:TJT,8/23/2002,13Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Tasly Pharmaceutical 'A'
ZHEJIANG CHINA COMD.CTY. GP.'A',CN:ZCC,5/9/2002,13Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Zhejiang China Commodities City Group 'A'
CHINA AVIC AVIONICS EQU. 'A',CN:CAU,7/6/2001,14Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,China Avic Avionics Equipment 'A'
CHINA CSSC HDG.'A',CN:HUM,5/20/1998,17Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,China CSSC Holdings 'A'
CHINA SCTY.&.FIRE 'A',CN:SFE,1/2/1991,25Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,China Security and Fire 'A'
CHINA SOUTH PBL.& MDA. GP.'A',CN:PNM,10/28/2010,5Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,China South Publishing and Media Group 'A'
CHONGQING WATER GP.'A',CN:CWG,3/29/2010,6Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Chongqing Water Group 'A'
CULTURAL INV.HDG.'A',CN:SON,7/1/1996,19Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Cultural Investment Holdings 'A'
GUANGXI GUIGUAN ELEC. PWR.'A',CN:GUX,3/23/2000,16Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Guangxi Guiguan Electric Power 'A'
HAINAN AIRLINES 'A',CN:HAS,11/25/1999,16Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Hainan Airlines 'A'
HUNDSUN TECHNOLOGIES 'A',CN:HAD,12/16/2003,12Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Hundsun Technologies 'A'
INMONG.JUZHG.E&C.GP.'A',CN:ENC,2/22/2011,5Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Inner Mongolia Juzhg E&C Group 'A'
JIANGSU EXPRESSWAY 'A',CN:JEX,1/16/2001,15Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Jiangsu Expressway 'A'
JIG.ZHONGDA NEW MRA.GP. 'A',CN:NAD,6/23/1997,18Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Jiangsu Zhongda New Material Group 'A'
JIHUA GROUP 'A',CN:JUA,8/16/2010,5Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Jihua Group 'A'
NARI TECH.DEV. 'A',CN:NAR,10/16/2003,12Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Nari Technology Development 'A'
SHAI. ZHANGJIANG 'A',CN:SZH,4/22/1996,19Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Shanghai Zhangjiang 'A'
SHAI.FOSUN PHARM.(GROUP) 'A',CN:FOI,8/7/1998,17Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Shanghai Fosun Pharmaceutical (Group) 'A'
SHANGHAI PHARM HDG.'A',CN:SPS,3/24/1994,22Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Shanghai Pharmaceutical Holdings 'A'
SHENZHEN KINGDOM TECH. 'A',CN:SJH,12/24/2003,12Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Shenzhen Kingdom Technology 'A'
SICHUAN CHUANTOU EN.'A',CN:SEG,9/24/1993,22Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Sichuan Chuantou Energy 'A'
TONGFANG 'A',CN:QTO,6/27/1997,18Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Tongfang 'A'
TSINGTAO BREWERY 'A',CN:TTB,8/27/1993,22Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Tsingtao Brewery 'A'
WANHUA CHEMICAL GP.'A',CN:YWP,1/5/2001,15Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Wanhua Chemical Group 'A'
WUHAN IRON AND STEEL 'A',CN:WSP,8/3/1999,16Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Wuhan Iron and Steel 'A'
XINHU ZHONGBAO 'A',CN:SDI,6/23/1999,16Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Xinhu Zhongbao 'A'
YONGHUI SUPERSTORES 'A',CN:YSU,12/15/2010,5Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Yonghui Superstores 'A'
YOUNGOR GROUP 'A',CN:YOG,11/19/1998,17Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Youngor Group 'A'
ZHEJIANG LONGSHENG GP. 'A',CN:ZLG,8/1/2003,12Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Zhejiang Longsheng Group 'A'
ZHONGJIN GOLD 'A',CN:ZJI,8/14/2003,12Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Zhongjin Gold 'A'
ANHUI KOUZI DSTL.'A',CN:AKD,6/29/2015,<1Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Anhui Kouzi DSTL 'A'
ANHUI XINHUA MEDIA 'A',CN:AXM,1/18/2010,6Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Anhui Xinhua Media 'A'
ANXIN TRUST 'A',CN:ATI,1/28/1994,22Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Anxin Trust 'A'
AVIC HELICOPTER 'A',CN:HAF,12/18/2000,15Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Avic Helicopter 'A'
BEIJING CAPITAL 'A',CN:BCC,4/27/2000,15Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Beijing Capital 'A'
BEIJING CAPITAL DEV.'A',CN:BJT,3/12/2001,15Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Beijing Capital Development 'A'
BEIJING GEHUA CATV NET. 'A',CN:BCN,2/26/2001,15Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Beijing Gehua Catv Network 'A'
BEIJING JINGNENG PWR.'A',CN:BJI,5/10/2002,13Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Beijing Jingneng Power 'A'
BEJ.URBAN CON.INV.DEV. 'A',CN:BUC,2/3/1999,17Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Beijing Urban Construction Investment Development 'A'
CECEP WIND POWER 'A',CN:CEW,9/29/2014,1Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Cecep Wind Power 'A'
CHANGYUAN GROUP 'A',CN:SCN,12/2/2002,13Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Changyuan Group 'A'
CHENGDU DR.PENG TELC.& MDA.GP.'A',CN:CGM,1/3/1994,22Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Chengdu Doctor Peng Telecom and Media Group 'A'
CHINA GEZHOUBA GROUP 'A',CN:GEZ,5/26/1997,18Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,China Gezhouba Group 'A'
CHINA HAINAN RUBBER IND. GP.'A',CN:RUB,1/7/2011,5Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,China Hainan Rubber Industry Group 'A'
CHINA JUSHI 'A',CN:CCB,4/22/1999,16Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,China Jushi 'A'
CHINA MRCH.EN.SHIP. 'A',CN:CME,12/1/2006,9Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,China Merchants Energy Shipping 'A'
CHINA NAT.CHM.ENGR.'A',CN:NAE,1/7/2010,6Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,China National Chemical Engineering 'A'
CHINA RAILWAY ERJU 'A',CN:CRW,5/28/2001,14Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,China Railway Erju 'A'
CHINA SHIP.DEV. 'A',CN:CSD,5/23/2002,13Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,China Shipping Development 'A'
CHINA SPORTS IND.GP. 'A',CN:CPI,3/27/1998,18Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,China Sports Industry Group 'A'
CHINA XD ELECTRIC 'A',CN:CXF,1/28/2010,6Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,China XD Electric 'A'
CHINESE UNV.PBL.& MDA. 'A',CN:JXI,3/4/2002,14Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Chinese Universe Publishing and Media 'A'
CITIC HEAVY INDUSTRIES 'A',CN:DQQ,7/6/2012,3Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Citic Heavy Industries 'A'
CMST DEVELOPMENT 'A',CN:TZH,1/21/1997,19Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,CMST Development 'A'
COFCO TUNHE 'A',CN:XNT,8/6/1996,19Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Cofco Tunhe 'A'
CSSC OFFS.& MAR.ENGR.GP. 'A',CN:GUA,10/28/1993,22Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,CSSC Offshore and Marine Engineering Group 'A'
DALIAN RUB.& PLSTC.MCH. 'A',CN:DBR,8/21/2001,14Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Dalian Rubber and Plastics Machinery 'A'
DAWNING INFO.IND.'A',CN:QTY,11/6/2014,1Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Dawning Information Industry 'A'
DONGFANG ELECTRIC 'A',CN:DEM,10/18/1995,20Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Dongfang Electric 'A'
FENGFAN STOCK 'A',CN:FNG,7/14/2004,11Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Fengfan Stock 'A'
FIBERHOME TELECOM.TECHS. 'A',CN:FTT,8/24/2001,14Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Fiberhome Telecommunications Technologies 'A'
FUJIAN FUNENG 'A',CN:FNT,5/31/2004,11Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Fujian Funeng 'A'
FUYAO GLSS.IND.GROUP 'A',CN:FY,6/10/1993,22Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Fuyao Glass Industry Group 'A'
GANSU GANGTAI HLDG.GP. 'A',CN:XIT,11/8/1993,22Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Gansu Gangtai Holding Group 'A'
GUANGDONG HEC TECHNOLOGY HOLDING 'A',CN:CHE,9/17/1993,22Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Guangdong HEC Technology Holding 'A'
GUANGHUI ENERGY 'A',CN:XGS,5/26/2000,15Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Guanghui Energy 'A'
GUANGZHOU BAIYUNSHAN PHARM.HDG.'A',CN:GZP,2/6/2001,15Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Guangzhou Baiyunshan Pharmaceutical Holdings 'A'
GUANGZHOU DEV.GROUP 'A',CN:GPE,7/18/1997,18Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Guangzhou Development Group 'A'
HAINAN MINING 'A',CN:MNB,12/9/2014,1Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Hainan Mining 'A'
HAINAN ZHENGHE INDL.GP. 'A',CN:HIN,10/8/1996,19Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Hainan Zhenghe Industrial Group 'A'
HARBIN PHARMS.GP. 'A',CN:HPC,6/29/1993,22Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Harbin Pharmaceuticals Group 'A'
HEILONGJIANG AGRIC.'A',CN:HBA,3/29/2002,14Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Heilongjiang Agriculture 'A'
HENAN PINGGAO ELEC. 'A',CN:HPG,2/21/2001,15Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Henan Pinggao Electric 'A'
