,PI
1995-05-22,940.52
1995-05-29,738.93
1995-06-05,718.28
1995-06-12,726.14
1995-06-19,661.93
1995-06-26,677.88
1995-07-03,634.801
1995-07-10,691.383
1995-07-17,722.069
1995-07-24,737.248
1995-07-31,721.007
1995-08-07,743.98
1995-08-14,806.3
1995-08-21,767.21
1995-08-28,751.28
1995-09-04,765.59
1995-09-11,805.51
1995-09-18,786.31
1995-09-25,750.68
1995-10-02,750.13
1995-10-09,732.95
1995-10-16,728.24
1995-10-23,752.02
1995-10-30,752.4
1995-11-06,767.1
1995-11-13,716.56
1995-11-20,702.41
1995-11-27,670.7
1995-12-04,659.56
1995-12-11,643.22
1995-12-18,614.12
1995-12-25,602.12
1996-01-01,575.19
1996-01-08,556.3
1996-01-15,569.01
1996-01-22,531.38
1996-01-29,545.0
1996-02-05,538.54
1996-02-12,542.02
1996-02-19,570.38
1996-02-26,570.38
1996-03-04,623.16
1996-03-11,587.72
1996-03-18,586.87
1996-03-25,589.65
1996-04-01,585.44
1996-04-08,602.13
1996-04-15,605.75
1996-04-22,637.41
1996-04-29,770.58
1996-05-06,698.15
1996-05-13,693.23
1996-05-20,732.83
1996-05-27,663.26
1996-06-03,667.01
1996-06-10,800.05
1996-06-17,784.5
1996-06-24,829.01
1996-07-01,795.533
1996-07-08,845.181
1996-07-15,826.028
1996-07-22,928.092
1996-07-29,896.389
1996-08-05,894.039
1996-08-12,928.008
1996-08-19,874.62
1996-08-26,807.47
1996-09-02,841.592
1996-09-09,829.778
1996-09-16,813.649
1996-09-23,893.555
1996-09-30,918.946
1996-10-07,907.18
1996-10-14,989.236
1996-10-21,1014.55
1996-10-28,1077.74
1996-11-04,994.687
1996-11-11,983.659
1996-11-18,1058.83
1996-11-25,1025.76
1996-12-02,1194.09
1996-12-09,1306.78
1996-12-16,1047.68
1996-12-23,939.946
1996-12-30,973.467
1997-01-06,913.841
1997-01-13,970.315
1997-01-20,974.146
1997-01-27,1000.7
1997-02-03,1006.36
1997-02-10,1006.36
1997-02-17,1024.72
1997-02-24,1055.08
1997-03-03,1111.46
1997-03-10,1150.39
1997-03-17,1212.75
1997-03-24,1248.3
1997-03-31,1293.36
1997-04-07,1338.06
1997-04-14,1381.45
1997-04-21,1424.11
1997-04-28,1411.93
1997-05-05,1513.3
1997-05-12,1569.0
1997-05-19,1406.47
1997-05-26,1307.82
1997-06-02,1395.34
1997-06-09,1331.17
1997-06-16,1317.13
1997-06-23,1340.68
1997-06-30,1306.78
1997-07-07,1145.25
1997-07-14,1239.26
1997-07-21,1248.55
1997-07-28,1193.4
1997-08-04,1256.27
1997-08-11,1239.57
1997-08-18,1179.44
1997-08-25,1232.96
1997-09-01,1284.03
1997-09-08,1311.88
1997-09-15,1229.66
1997-09-22,1151.44
1997-09-29,1130.22
1997-10-06,1147.48
1997-10-13,1170.58
1997-10-20,1243.83
1997-10-27,1297.59
1997-11-03,1239.77
1997-11-10,1244.43
1997-11-17,1251.14
1997-11-24,1184.03
1997-12-01,1193.71
1997-12-08,1197.6
1997-12-15,1230.97
1997-12-22,1232.66
1997-12-29,1251.23
1998-01-05,1287.45
1998-01-12,1301.02
1998-01-19,1282.76
1998-01-26,1293.78
1998-02-02,1293.78
1998-02-09,1318.64
1998-02-16,1305.44
1998-02-23,1274.55
1998-03-02,1250.88
1998-03-09,1266.33
1998-03-16,1252.31
1998-03-23,1243.69
1998-03-30,1318.71
1998-04-06,1380.24
1998-04-13,1393.25
1998-04-20,1369.28
1998-04-27,1386.32
1998-05-04,1431.3
1998-05-11,1434.23
1998-05-18,1448.86
1998-05-25,1471.98
1998-06-01,1501.3
1998-06-08,1488.61
1998-06-15,1449.34
1998-06-22,1484.89
1998-06-29,1445.07
1998-07-06,1395.58
1998-07-13,1443.26
1998-07-20,1366.74
1998-07-27,1405.58
1998-08-03,1386.3
1998-08-10,1314.54
1998-08-17,1138.35
1998-08-24,1253.8
1998-08-31,1224.08
1998-09-07,1252.49
1998-09-14,1318.8
1998-09-21,1300.2
1998-09-28,1307.58
1998-10-05,1312.39
1998-10-12,1324.66
1998-10-19,1323.16
1998-10-26,1283.01
1998-11-02,1300.32
1998-11-09,1363.94
1998-11-16,1375.47
1998-11-23,1354.75
1998-11-30,1327.11
1998-12-07,1287.09
1998-12-14,1272.88
1998-12-21,1228.54
1998-12-28,1234.02
1999-01-04,1197.35
1999-01-11,1247.56
1999-01-18,1227.24
1999-01-25,1222.6
1999-02-01,1192.93
1999-02-08,1134.63
1999-02-15,1160.58
1999-02-22,1160.58
1999-03-01,1169.26
1999-03-08,1217.52
1999-03-15,1241.24
1999-03-22,1248.51
1999-03-29,1244.24
1999-04-05,1271.29
1999-04-12,1272.04
1999-04-19,1233.92
1999-04-26,1183.98
1999-05-03,1192.67
1999-05-10,1139.57
1999-05-17,1132.11
1999-05-24,1290.26
1999-05-31,1357.95
1999-06-07,1407.69
1999-06-14,1513.83
1999-06-21,1640.46
1999-06-28,1793.88
1999-07-05,1675.89
1999-07-12,1654.7
1999-07-19,1573.28
1999-07-26,1700.73
1999-08-02,1715.84
1999-08-09,1731.19
1999-08-16,1657.48
1999-08-23,1746.97
1999-08-30,1720.13
1999-09-06,1657.84
1999-09-13,1774.48
1999-09-20,1735.85
1999-09-27,1702.08
1999-10-04,1668.91
1999-10-11,1617.96
1999-10-18,1596.43
1999-10-25,1560.53
1999-11-01,1586.9
1999-11-08,1562.95
1999-11-15,1541.83
1999-11-22,1555.71
1999-11-29,1525.84
1999-12-06,1516.74
1999-12-13,1506.67
1999-12-20,1509.27
1999-12-27,1429.46
2000-01-03,1451.9
2000-01-10,1642.53
2000-01-17,1523.519
2000-01-24,1570.64
2000-01-31,1631.524
2000-02-07,1631.524
2000-02-14,1779.707
2000-02-21,1784.456
2000-02-28,1814.783
2000-03-06,1789.807
2000-03-13,1840.813
2000-03-20,1809.036
2000-03-27,1889.534
2000-04-03,1916.208
2000-04-10,1943.19
2000-04-17,1910.304
2000-04-24,1954.889
2000-05-01,1953.865
2000-05-08,1954.492
2000-05-15,1813.206
2000-05-22,1941.13
2000-05-29,2017.751
2000-06-05,2017.361
2000-06-12,2032.289
2000-06-19,2034.282
2000-06-26,2069.564
2000-07-03,2013.303
2000-07-10,2069.367
2000-07-17,2105.201
2000-07-24,2112.483
2000-07-31,2148.034
2000-08-07,2163.04
2000-08-14,2200.368
2000-08-21,2231.968
2000-08-28,2227.94
2000-09-04,2131.815
2000-09-11,2089.886
2000-09-18,2064.586
2000-09-25,1990.599
2000-10-02,2026.364
2000-10-09,2032.076
2000-10-16,2019.771
2000-10-23,2078.746
2000-10-30,2091.288
2000-11-06,2109.29
2000-11-13,2194.745
2000-11-20,2225.645
2000-11-27,2172.214
2000-12-04,2216.103
2000-12-11,2167.338
2000-12-18,2163.636
2000-12-25,2189.361
2001-01-01,2192.378
2001-01-08,2223.798
2001-01-15,2149.571
2001-01-22,2185.196
2001-01-29,2185.196
2001-02-05,2124.347
2001-02-12,2075.566
2001-02-19,2080.959
2001-02-26,2067.197
2001-03-05,2087.499
2001-03-12,2114.086
2001-03-19,2138.859
2001-03-26,2192.069
2001-04-02,2226.904
2001-04-09,2217.575
2001-04-16,2267.909
2001-04-23,2247.221
2001-04-30,2214.486
2001-05-07,2214.486
2001-05-14,2272.234
2001-05-21,2305.68
2001-05-28,2264.394
