,CCY,DSCD,EXMNEM,GEOG,GEOGC,IBTKR,INDC,INDG,INDM,INDX,INDXEG,INDXFS,INDXL,INDXS,ISIN,ISINID,LOC,MNEM,NAME,SECD,SYMBOL,TYPE
10,CH,27576T,SHG,051,CH,@:@62Z,BANKS,102,Banks,TOTMKCA,BANKSCH,BANKSCH,CHSASHR,BANKSCH,CNE000001FW7,P,CH600015,CN:HXB,HUAXIA BANK 'A',6683438,27576T,EQ
11,CH,256846,SHG,051,CH,@:@M60,BANKS,102,Banks,TOTMKCA,BANKSCH,BANKSCH,CHSASHR,BANKSCH,CNE0000015Y0,P,CH600016,CN:CMB,CHINA MINSHENG BANKING 'A',6310747,256846,EQ
12,CH,41217X,SHG,051,CH,@:@2QS,TRNSV,064,Transport Services,TOTMKCA,INDGSCH,INDTRCH,CHSASHR,TRNSVCH,CNE000001P03,P,CH600017,CN:RZO,RIZHAO PORT 'A',B1G2SZ7,41217X,EQ
13,CH,297100,SHG,051,CH,@:@01R,TRNSV,064,Transport Services,TOTMKCA,INDGSCH,INDTRCH,CHSASHR,TRNSVCH,CNE0000013N8,P,CH600018,CN:SPZ,SHANGHAI INTL.POR.GP. 'A',B1G9126,297100,EQ
14,CH,255957,SHG,051,CH,@:@19B,STEEL,056,Iron & Steel,TOTMKCA,BRESRCH,INDMTCH,CHSASHR,STEELCH,CNE0000015R4,P,CH600019,CN:BIS,BAOSHAN IRON & STL.'A',6307954,255957,EQ
15,CH,27354E,SHG,051,CH,@:@60Z,TRNSV,064,Transport Services,TOTMKCA,INDGSCH,INDTRCH,CHSASHR,TRNSVCH,CNE000001FL0,P,CH600020,CN:HZE,HENAN ZHONGYUAN EXPRESS WAY 'A',6674517,27354E,EQ
16,CH,27921M,SHG,051,CH,@:@95J,CNVEL,169,Con. Electricity,TOTMKCA,UTILSCH,ELECTCH,CHSASHR,CNVELCH,CNE000001G53,P,CH600021,CN:HEP,SHANGHAI ELEC. POWER 'A',6709828,27921M,EQ
17,CH,29137P,SHG,051,CH,@:@95W,STEEL,056,Iron & Steel,TOTMKCA,BRESRCH,INDMTCH,CHSASHR,STEELCH,CNE000001JV1,P,CH600022,CN:JNN,SHANDONG IRON & STL.'A',B01NV71,29137P,EQ
18,CH,8682AH,SHG,051,CH,@:@ZZEP,ALTEL,096,Alt. Electricity,TOTMKCA,UTILSCH,ELECTCH,CHSASHR,NA,CNE100001SP3,P,CH600023,CN:ZEP,ZHEJIANG ZHENENG ELEC. POWER 'A',BHB9338,8682AH,EQ
19,CH,255569,SHG,051,CH,@:@17C,MARIN,099,Marine Transportation,TOTMKCA,INDGSCH,INDTRCH,CHSASHR,MARINCH,CNE000001BD6,P,CH600026,CN:CSD,CHINA SHIP.DEV. 'A',6344627,255569,EQ
20,CH,30233F,SHG,051,CH,@:@QPI,CNVEL,169,Con. Electricity,TOTMKCA,UTILSCH,ELECTCH,CHSASHR,CNVELCH,CNE000001LJ2,P,CH600027,CN:HIP,HUADIAN POWER INTL.'A',B05R5D3,30233F,EQ
21,CH,14417N,SHG,051,CH,@:@ZYR,OILIN,097,Integrated Oil & Gas,TOTMKCA,OILGSCH,OILGPCH,CHSASHR,OILINCH,CNE0000018G1,P,CH600028,CN:CPC,CHINA PTL.& CHM.'A',6373728,14417N,EQ
22,CH,27317X,SHG,051,CH,@:@JUY,AIRLN,129,Airlines,TOTMKCA,TRLESCH,TRLESCH,CHSASHR,AIRLNCH,CNE000001FG0,P,CH600029,CN:CSA,CHINA SOUTHERN AIRLINES 'A',6664972,27317X,EQ
23,CH,26661V,SHG,051,CH,@:@03T,INVSV,111,Investment Services,TOTMKCA,FINSVCH,FNSVSCH,CHSASHR,INVSVCH,CNE000001DB6,P,CH600030,CN:CSC,CITIC SECURITIES 'A',6579355,26661V,EQ
24,CH,27233M,SHG,051,CH,@:@58Z,COMMV,117,"Comm. Vehicles,Trucks",TOTMKCA,INDGSCH,INDENCH,CHSASHR,COMMVCH,CNE000001F70,P,CH600031,CN:SNY,SANY HEAVY INDUSTRY 'A',6648824,27233M,EQ
25,CH,256886,SHG,051,CH,@:@736,TRNSV,064,Transport Services,TOTMKCA,INDGSCH,INDTRCH,CHSASHR,TRNSVCH,CNE000001717,P,CH600033,CN:FEX,FUJIAN EXPRESSWAY DEV. 'A',6317447,256886,EQ
26,CH,28589N,SHG,051,CH,@:@RZ5,TRNSV,064,Transport Services,TOTMKCA,INDGSCH,INDTRCH,CHSASHR,TRNSVCH,CNE000001GW5,P,CH600035,CN:HBE,HUBEI CHUTIAN EXPRESSWAY 'A',6745866,28589N,EQ
27,CH,15394J,SHG,051,CH,@:@07V,BANKS,102,Banks,TOTMKCA,BANKSCH,BANKSCH,CHSASHR,BANKSCH,CNE000001B33,P,CH600036,CN:MER,CHINA MERCHANTS BANK 'A',6518723,15394J,EQ
28,CH,13423M,SHG,051,CH,@:@649,BRDEN,115,Broadcast & Entertain,TOTMKCA,NA,NA,CHSASHR,NA,CNE0000016Y8,P,CH600037,CN:BCN,BEIJING GEHUA CATV NET. 'A',6317328,13423M,EQ
29,CH,256258,SHG,051,CH,@:@739,AEROS,098,Aerospace,TOTMKCA,INDGSCH,NA,CHSASHR,NA,CNE0000015V6,P,CH600038,CN:HAF,AVIC HELICOPTER 'A',6306586,256258,EQ
30,CH,26907H,SHG,051,CH,@:@61Z,HVYCN,039,Heavy Construction,TOTMKCA,CNSTMCH,CNSTMCH,CHSASHR,HVYCNCH,CNE000001DQ4,P,CH600039,CN:SIB,SICHUAN ROAD & BRIDGE 'A',6599803,26907H,EQ
31,CH,36241V,SHG,051,CH,@:@PUW,RLDEV,112,"Real Estate Hold, Dev",TOTMKCA,RLESTCH,RLISVCH,CHSASHR,RLDEVCH,CNE000001ND1,P,CH600048,CN:PRE,POLY REAL ESTATE GP.'A',B19RB38,36241V,EQ
32,CH,26337N,SHG,051,CH,@:@269,TELMB,143,Mobile Telecom.,TOTMKCA,TELCMCH,NA,CHSASHR,NA,CNE000001CS2,P,CH600050,CN:CUC,CHINA UTD.NET.COMMS.'A',6547998,26337N,EQ
33,CH,890185,SHG,051,CH,@:@372,INSUP,032,Industrial Suppliers,TOTMKCA,INDGSCH,NA,CHSASHR,NA,CNE000000PL1,P,CH600051,CN:NUN,NINGBO UNITED GROUP 'A',6635912,890185,EQ
34,CH,890193,SHG,051,CH,@:@403,RLDEV,112,"Real Estate Hold, Dev",TOTMKCA,RLESTCH,RLISVCH,CHSASHR,RLDEVCH,CNE000000PM9,P,CH600052,CN:ZGB,ZHEJIANG GUANGSHA 'A',6990064,890193,EQ
35,CH,890200,SHG,051,CH,@:@286,RLDEV,112,"Real Estate Hold, Dev",TOTMKCA,RLESTCH,RLISVCH,CHSASHR,RLDEVCH,CNE000000PP2,P,CH600053,CN:JGP,JIANGXI ZHONG JIANG RLST.'A',6004307,890200,EQ
36,CH,891272,SHG,051,CH,@:@9HMM1,TRAVL,094,Travel & Tourism,TOTMKCA,TRLESCH,TRLESCH,CHSASHR,TRAVLCH,CNE000000PV0,P,CH600054,CN:HTR,HUANGSHAN TOURISM DEV. 'A',6444635,891272,EQ
37,CH,890516,SHG,051,CH,@:@236,MEDEQ,132,Medical Equipment,TOTMKCA,HLTHCCH,HCEQSCH,CHSASHR,NA,CNE000000PZ1,P,CH600055,CN:BEW,CHINA RESOURCES WANDONG MEDICAL EQUIPMENT 'A',6079037,890516,EQ
38,CH,890510,SHG,051,CH,@:@07N,DGRET,120,Drug Retailers,TOTMKCA,RTAILCH,FDRGRCH,CHSASHR,NA,CNE000000Q29,P,CH600056,CN:CTR,CHINA MEHECO 'A',6109398,890510,EQ
39,CH,890579,SHG,051,CH,@:@04E,CNELE,075,Consumer Electronics,TOTMKCA,PERHHCH,NA,CHSASHR,NA,CNE000000QN5,P,CH600057,CN:XXE,XIAMEN XIANGYU 'A',6005775,890579,EQ
40,CH,890555,SHG,051,CH,@:@608,INSUP,032,Industrial Suppliers,TOTMKCA,INDGSCH,NA,CHSASHR,NA,CNE000000Q78,P,CH600058,CN:MNM,MINMETALS DEV.'A',6002817,890555,EQ
41,CH,890517,SHG,051,CH,@:@387,DISTV,068,Distillers & Vintners,TOTMKCA,FDBEVCH,BEVESCH,CHSASHR,DISTVCH,CNE000000Q03,P,CH600059,CN:ZHG,ZHEJIANG GUYUE 'A',6993580,890517,EQ
42,CH,890210,SHG,051,CH,@:@H60,CNELE,075,Consumer Electronics,TOTMKCA,PERHHCH,NA,CHSASHR,NA,CNE000000PF3,P,CH600060,CN:QHH,HISENSE ELEC. 'A',6718857,890210,EQ
43,CH,890518,SHG,051,CH,@:@08Z,CLTHG,069,Clothing & Accessory,TOTMKCA,PERHHCH,PERSGCH,CHSASHR,CLTHGCH,CNE000000Q11,P,CH600061,CN:SID,SINOTEX INV.&DEV. 'A',6813116,890518,EQ
44,CH,890523,SHG,051,CH,@:@340,PHRMC,095,Pharmaceuticals,TOTMKCA,HLTHCCH,PHARMCH,CHSASHR,PHRMCCH,CNE000000Q94,P,CH600062,CN:BJP,CHINA RES.DBLE.-CRANE PHARM.'A',6089597,890523,EQ
45,CH,890554,SHG,051,CH,@:@02L,CHMSP,033,Specialty Chemicals,TOTMKCA,CHMCLCH,CHMCLCH,CHSASHR,CHMSPCH,CNE000000QH7,P,CH600063,CN:AWA,ANHUI WANWEI UPDATED HIGH-TECH MRA.'A',6004471,890554,EQ
46,CH,891271,SHG,051,CH,@:@08P,RLDEV,112,"Real Estate Hold, Dev",TOTMKCA,RLESTCH,RLISVCH,CHSASHR,RLDEVCH,CNE000000PX6,P,CH600064,CN:NJX,NANJING GAOKE 'A',6094900,891271,EQ
47,CH,890294,SHG,051,CH,@:@256,AUTOS,065,Automobiles,TOTMKCA,AUTMBCH,AUTMBCH,CHSASHR,AUTOSCH,CNE000000PY4,P,CH600066,CN:ZHY,ZHENGZHOU YUTONG BUS 'A',6990718,890294,EQ
48,CH,890293,SHG,051,CH,@:@00R,ELEQP,037,Electrical Equipment,TOTMKCA,INDGSCH,ELTNCCH,CHSASHR,ELEQPCH,CNE000000QD6,P,CH600067,CN:FUZ,CITYCHAMP DARTONG 'A',6113430,890293,EQ
49,CH,890537,SHG,051,CH,@:@GZ0,HVYCN,039,Heavy Construction,TOTMKCA,CNSTMCH,CNSTMCH,CHSASHR,HVYCNCH,CNE000000QF1,P,CH600068,CN:GEZ,CHINA GEZHOUBA GROUP 'A',6377214,890537,EQ
50,CH,890234,SHG,051,CH,@:@223,PAPER,082,Paper,TOTMKCA,BRESRCH,NA,CHSASHR,NA,CNE000000PT4,P,CH600069,CN:LXP,HENAN YINGE INDL.INV. 'A',6525897,890234,EQ
51,CH,890580,SHG,051,CH,@:@420,CLTHG,069,Clothing & Accessory,TOTMKCA,PERHHCH,PERSGCH,CHSASHR,CLTHGCH,CNE000000QP0,P,CH600070,CN:ZFA,ZHEJIANG FURUN 'A',6005797,890580,EQ
52,CH,890556,SHG,051,CH,@:@189,RECPR,155,Recreational Products,TOTMKCA,PERHHCH,NA,CHSASHR,NA,CNE000000QJ3,P,CH600071,CN:POP,PHENIX OPTICAL 'A',6004448,890556,EQ
53,CH,890577,SHG,051,CH,@:@448,IMACH,043,Industrial Machinery,TOTMKCA,INDGSCH,INDENCH,CHSASHR,IMACHCH,CNE000000QR6,P,CH600072,CN:JHI,CSSC STEEL STRUCTURE ENGINEERING 'A',6002776,890577,EQ
54,CH,890864,SHG,051,CH,@:@796,FDPRD,071,Food Products,TOTMKCA,FDBEVCH,NA,CHSASHR,NA,CNE000000RS2,P,CH600073,CN:SML,SHANGHAI MALING AQUARIUS 'A',6008473,890864,EQ
55,CH,890668,SHG,051,CH,@:@07M,CHMSP,033,Specialty Chemicals,TOTMKCA,CHMCLCH,CHMCLCH,CHSASHR,CHMSPCH,CNE000000RC6,P,CH600074,CN:NAD,JIG.ZHONGDA NEW MRA.GP. 'A',6004404,890668,EQ
56,CH,890643,SHG,051,CH,@:@09S,CHMSP,033,Specialty Chemicals,TOTMKCA,CHMCLCH,CHMCLCH,CHSASHR,CHMSPCH,CNE000000R10,P,CH600075,CN:XTC,XINJIANG TIANYE 'A',6001267,890643,EQ
57,CH,890538,SHG,051,CH,@:@212,ELEQP,037,Electrical Equipment,TOTMKCA,INDGSCH,ELTNCCH,CHSASHR,ELEQPCH,CNE000000QB0,P,CH600076,CN:WHU,WEIFANG BEIDA JADEBIRD HUAGUANG TECH.'A',6944964,890538,EQ
58,CH,890519,SHG,051,CH,@:@325,TRNSV,064,Transport Services,TOTMKCA,INDGSCH,INDTRCH,CHSASHR,TRNSVCH,CNE000000Q86,P,CH600077,CN:TJI,SUNDY LD.INVESTMENT 'A',6881823,890519,EQ
59,CH,890694,SHG,051,CH,@:@417,CHEMS,092,Commodity Chemicals,TOTMKCA,CHMCLCH,CHMCLCH,CHSASHR,CHEMSCH,CNE000000R51,P,CH600078,CN:JDI,JIANGSU CHENGXING PHOSPH 'A',6003519,890694,EQ
60,CH,890585,SHG,051,CH,@:@673,PHRMC,095,Pharmaceuticals,TOTMKCA,HLTHCCH,PHARMCH,CHSASHR,PHRMCCH,CNE000000QW6,P,CH600079,CN:WUD,WUHAN HMNWL.HLTHCR.(GP.) 'A',6000190,890585,EQ
61,CH,890608,SHG,051,CH,@:@466,PHRMC,095,Pharmaceuticals,TOTMKCA,HLTHCCH,PHARMCH,CHSASHR,PHRMCCH,CNE000000QQ8,P,CH600080,CN:GEG,GINWA ENTER.(GROUP) 'A',6369608,890608,EQ
62,CH,890865,SHG,051,CH,@:@06E,AUPRT,063,Auto Parts,TOTMKCA,AUTMBCH,AUTMBCH,CHSASHR,NA,CNE000000RP8,P,CH600081,CN:DME,DONGFENG ELT.TECH.'A',6008451,890865,EQ
63,CH,890662,SHG,051,CH,@:@01F,RLDEV,112,"Real Estate Hold, Dev",TOTMKCA,RLESTCH,RLISVCH,CHSASHR,RLDEVCH,CNE000000RD4,P,CH600082,CN:TIA,TIANJIN HI-TECH DEV.'A',6004415,890662,EQ
64,CH,890586,SHG,051,CH,@:@332,ELEQP,037,Electrical Equipment,TOTMKCA,INDGSCH,ELTNCCH,CHSASHR,ELEQPCH,CNE000000R28,P,CH600083,CN:CHC,GUANGDONG BOXIN INVESTG. &.HDG.'A',6001137,890586,EQ
65,CH,890902,SHG,051,CH,@:@04P,DISTV,068,Distillers & Vintners,TOTMKCA,FDBEVCH,BEVESCH,CHSASHR,DISTVCH,CNE000000RZ7,P,CH600084,CN:SUN,CITIC GUOAN WINE 'A',6011330,890902,EQ
66,CH,890686,SHG,051,CH,@:@249,PHRMC,095,Pharmaceuticals,TOTMKCA,HLTHCCH,PHARMCH,CHSASHR,PHRMCCH,CNE000000R69,P,CH600085,CN:BTR,BEIJING TONGRENTANG 'A',6003542,890686,EQ
67,CH,890587,SHG,051,CH,@:@262,APRET,066,Apparel Retailers,TOTMKCA,RTAILCH,NA,CHSASHR,NA,CNE000000QX4,P,CH600086,CN:HDC,EASTERN GOLD JADE 'A',6001171,890587,EQ
68,CH,890628,SHG,051,CH,@:@09P,BRDEN,115,Broadcast & Entertain,TOTMKCA,NA,NA,CHSASHR,NA,CNE000000QY2,P,CH600088,CN:WCF,CHINA TV.MDA.'A',6001256,890628,EQ
69,CH,890647,SHG,051,CH,@:@08X,ELEQP,037,Electrical Equipment,TOTMKCA,INDGSCH,ELTNCCH,CHSASHR,ELEQPCH,CNE000000RB8,P,CH600089,CN:TEA,TBEA 'A',6003973,890647,EQ
70,CH,890627,SHG,051,CH,@:@170,BREWS,067,Brewers,TOTMKCA,FDBEVCH,BEVESCH,CHSASHR,BREWSCH,CNE000000QK1,P,CH600090,CN:XHC,XIN JIANG HOPS 'A',6012753,890627,EQ
71,CH,890907,SHG,051,CH,@:@425,CHEMS,092,Commodity Chemicals,TOTMKCA,CHMCLCH,CHMCLCH,CHSASHR,CHEMSCH,CNE000000RQ6,P,CH600091,CN:HUE,BAOTOU TOMORROW TECH.'A' SUSP - SUSP.28/03/16,6008194,890907,EQ
72,CH,890696,SHG,051,CH,@:@241,AUPRT,063,Auto Parts,TOTMKCA,AUTMBCH,AUTMBCH,CHSASHR,NA,CNE000000RG7,P,CH600093,CN:SIJ,SICHUAN HEJIA 'A',6005430,890696,EQ
73,CH,890867,SHG,051,CH,@:@JPJM1,CHEMS,092,Commodity Chemicals,TOTMKCA,CHMCLCH,CHMCLCH,CHSASHR,CHEMSCH,CNE000000S76,P,CH600094,CN:SGW,GREATTOWN HOLDINGS 'A',6012560,890867,EQ
74,CH,890872,SHG,051,CH,@:@04W,FDPRD,071,Food Products,TOTMKCA,FDBEVCH,NA,CHSASHR,NA,CNE000000S68,P,CH600095,CN:HHT,HARBIN HIGH TECH.GP.'A',6012311,890872,EQ
75,CH,890873,SHG,051,CH,@:@822,CHMSP,033,Specialty Chemicals,TOTMKCA,CHMCLCH,CHMCLCH,CHSASHR,CHMSPCH,CNE000000S01,P,CH600096,CN:YYU,YUNNAN YUNTIANHUA 'A',6011363,890873,EQ
76,CH,890660,SHG,051,CH,@:@01D,FMFSH,035,Farm Fish Plantation,TOTMKCA,FDBEVCH,NA,CHSASHR,NA,CNE000000QT2,P,CH600097,CN:HHE,SHANGHAI KAICHUANG MAR. INTL.'A',6000286,890660,EQ
77,CH,890937,SHG,051,CH,@:@GD9,CNVEL,169,Con. Electricity,TOTMKCA,UTILSCH,ELECTCH,CHSASHR,CNVELCH,CNE000000SB6,P,CH600098,CN:GPE,GUANGZHOU DEV.GROUP 'A',6012816,890937,EQ
78,CH,890866,SHG,051,CH,@:@285,AUTOS,065,Automobiles,TOTMKCA,AUTMBCH,AUTMBCH,CHSASHR,AUTOSCH,CNE000000RX2,P,CH600099,CN:LCL,LINHAI 'A',6009421,890866,EQ
79,CH,890714,SHG,051,CH,@:@61T,COMPH,034,Computer Hardware,TOTMKCA,TECNOCH,TECHDCH,CHSASHR,COMPHCH,CNE000000RK9,P,CH600100,CN:QTO,TONGFANG 'A',6093060,890714,EQ
80,CH,890715,SHG,051,CH,@:@411,CNVEL,169,Con. Electricity,TOTMKCA,UTILSCH,ELECTCH,CHSASHR,CNVELCH,CNE000000SC4,P,CH600101,CN:SME,SICHUAN MINGXING ELEC. PWR. 'A',6015246,890715,EQ
81,CH,890868,SHG,051,CH,@:@237,PAPER,082,Paper,TOTMKCA,BRESRCH,NA,CHSASHR,NA,CNE000000S19,P,CH600103,CN:FQP,FUJIAN QINGSHAN PAPER 'A',6009197,890868,EQ
82,CH,877264,SHG,051,CH,@:@1SA,AUTOS,065,Automobiles,TOTMKCA,AUTMBCH,AUTMBCH,CHSASHR,AUTOSCH,CNE000000TY6,P,CH600104,CN:SAM,SAIC MOTOR 'A',6086974,877264,EQ
83,CH,896237,SHG,051,CH,@:@326,ELEQP,037,Electrical Equipment,TOTMKCA,INDGSCH,ELTNCCH,CHSASHR,ELEQPCH,CNE000000T83,P,CH600105,CN:JSY,JIANGSU ETERN 'A',6051381,896237,EQ
84,CH,890648,SHG,051,CH,@:@167,TRNSV,064,Transport Services,TOTMKCA,INDGSCH,INDTRCH,CHSASHR,TRNSVCH,CNE000000R93,P,CH600106,CN:CHW,CHONGQING ROAD &.BDG.'A',6003553,890648,EQ
85,CH,871502,SHG,051,CH,@:@214,CLTHG,069,Clothing & Accessory,TOTMKCA,PERHHCH,PERSGCH,CHSASHR,CLTHGCH,CNE000000TN9,P,CH600107,CN:HBM,HUBEI MAILYARD SHRE.'A',6083685,871502,EQ
86,CH,896029,SHG,051,CH,@:@04A,FMFSH,035,Farm Fish Plantation,TOTMKCA,FDBEVCH,NA,CHSASHR,NA,CNE000000SP6,P,CH600108,CN:YAS,GANSU YASHENG INDL.GP. 'A',6019389,896029,EQ
87,CH,896010,SHG,051,CH,@:@391,INVSV,111,Investment Services,TOTMKCA,FINSVCH,FNSVSCH,CHSASHR,INVSVCH,CNE000000SV4,P,CH600109,CN:CDC,SINOLINK SECURITIES 'A',6093048,896010,EQ
88,CH,865713,SHG,051,CH,@:@506,ELEQP,037,Electrical Equipment,TOTMKCA,INDGSCH,ELTNCCH,CHSASHR,ELEQPCH,CNE000000TB4,P,CH600110,CN:CCH,CHINA-KINWA HI.TECH.'A' SUSP - SUSP.07/04/16,6093037,865713,EQ
89,CH,896226,SHG,051,CH,@:@799,MINES,122,General Mining,TOTMKCA,BRESRCH,MNINGCH,CHSASHR,MINESCH,CNE000000T18,P,CH600111,CN:IMR,INMONG.BAOTOU STL.RARE EARTH (GP.)HI-TECH 'A',6042017,896226,EQ
90,CH,878742,SHG,051,CH,@:@440,ELEQP,037,Electrical Equipment,TOTMKCA,INDGSCH,ELTNCCH,CHSASHR,ELEQPCH,CNE000000TV2,P,CH600112,CN:ELE,GUIZHOU CZN.TIANZHENG HLDG.'A',6086457,878742,EQ
91,CH,870739,SHG,051,CH,@:@465,RLDEV,112,"Real Estate Hold, Dev",TOTMKCA,RLESTCH,RLISVCH,CHSASHR,RLDEVCH,CNE000000TC2,P,CH600113,CN:ZJD,ZHE JIANG DONG RI 'A' SUSP - SUSP.25/03/16,6055662,870739,EQ
92,CH,28957K,SHG,051,CH,@:@60R,AUPRT,063,Auto Parts,TOTMKCA,AUTMBCH,AUTMBCH,CHSASHR,NA,CNE000001HK8,P,CH600114,CN:NTN,NBTM NEW MATS.GROUP 'A',B012T96,28957K,EQ
93,CH,871353,SHG,051,CH,@:@EA5,AIRLN,129,Airlines,TOTMKCA,TRLESCH,TRLESCH,CHSASHR,AIRLNCH,CNE000000TR0,P,CH600115,CN:CEA,CHINA EASTERN AIRL. 'A',6085261,871353,EQ
94,CH,890998,SHG,051,CH,@:@05T,ALTEL,096,Alt. Electricity,TOTMKCA,UTILSCH,ELECTCH,CHSASHR,NA,CNE000000SN1,P,CH600116,CN:CQA,CHONGQING THREE GORGES WT.CNVCY.& ELEC.PWR. 'A',6018869,890998,EQ
95,CH,871499,SHG,051,CH,@:@220,STEEL,056,Iron & Steel,TOTMKCA,BRESRCH,INDMTCH,CHSASHR,STEELCH,CNE000000TF5,P,CH600117,CN:XSS,XINING SPC.STL. 'A',6093082,871499,EQ
96,CH,896176,SHG,051,CH,@:@07T,TELEQ,126,Telecom. Equipment,TOTMKCA,TECNOCH,TECHDCH,CHSASHR,TELEQCH,CNE000000SM3,P,CH600118,CN:CPT,CHINA SPACESAT 'A',6018858,896176,EQ
97,CH,675016,SHG,051,CH,@:@511,TRNSV,064,Transport Services,TOTMKCA,INDGSCH,INDTRCH,CHSASHR,TRNSVCH,CNE000000V22,P,CH600119,CN:YRI,YUD YANGTZE RVR.INV.IND. 'A',6092034,675016,EQ
98,CH,878826,SHG,051,CH,@:@449,CLTHG,069,Clothing & Accessory,TOTMKCA,PERHHCH,PERSGCH,CHSASHR,CLTHGCH,CNE000000V06,P,CH600120,CN:ZOG,ZHEJIANG OR.HDG. 'A' SUSP - SUSP.12/10/15,6088077,878826,EQ
99,CH,675006,SHG,051,CH,@:@21C,COALM,049,Coal,TOTMKCA,BRESRCH,MNINGCH,CHSASHR,COALMCH,CNE000000TS8,P,CH600121,CN:ZZC,ZHENGZHOU COAL INDUSTRY & ELEC.PWR.'A',6084581,675006,EQ
100,CH,675358,SHG,051,CH,@:@700,COMPH,034,Computer Hardware,TOTMKCA,TECNOCH,TECHDCH,CHSASHR,COMPHCH,CNE000000VP0,P,CH600122,CN:JHT,JIANGSU HONGTU HI.TECH 'A',6109729,675358,EQ
101,CH,675888,SHG,051,CH,@:@276,COALM,049,Coal,TOTMKCA,BRESRCH,MNINGCH,CHSASHR,COALMCH,CNE000000XZ5,P,CH600123,CN:SXM,SHANXI LANHUA SCI-TECH VENTURE 'A',6134839,675888,EQ
102,CH,675415,SHG,051,CH,@:@426,RAILS,081,Railroads,TOTMKCA,INDGSCH,INDTRCH,CHSASHR,NA,CNE000000VW6,P,CH600125,CN:DTI,CHINA RAILWAY TIELONG CONTAINER LOGISTIC 'A',6112103,675415,EQ
103,CH,675158,SHG,051,CH,@:@631,STEEL,056,Iron & Steel,TOTMKCA,BRESRCH,INDMTCH,CHSASHR,STEELCH,CNE000000V97,P,CH600126,CN:HIC,HANGZHOU IRON & STL. 'A',6104155,675158,EQ
104,CH,675404,SHG,051,CH,@:@461,FDPRD,071,Food Products,TOTMKCA,FDBEVCH,NA,CHSASHR,NA,CNE000000VT2,P,CH600127,CN:HIR,HUNAN JINJIAN CEREALS IND.'A',6111199,675404,EQ
105,CH,896134,SHG,051,CH,@:@08E,BDRET,087,Broadline Retailers,TOTMKCA,RTAILCH,NA,CHSASHR,NA,CNE000000SY8,P,CH600128,CN:JIS,JIANGSU HOLLY 'A',6038975,896134,EQ
106,CH,877232,SHG,051,CH,@:@09V,PHRMC,095,Pharmaceuticals,TOTMKCA,HLTHCCH,PHARMCH,CHSASHR,PHRMCCH,CNE000000TQ2,P,CH600129,CN:CHT,CHONGQING TAIJI IND. (GP.) 'A',6091569,877232,EQ
